device_id,device_type,object_id,power_w,network_load_mbps,poe_load_w,source_status,notes
L-01,luminaire,L-01,80.0,0.0,0.0,task_owned_synthetic,normal lighting load
L-02,luminaire,L-02,80.0,0.0,0.0,task_owned_synthetic,normal lighting load
L-03,luminaire,L-03,80.0,0.0,0.0,task_owned_synthetic,normal lighting load
L-04,luminaire,L-04,80.0,0.0,0.0,task_owned_synthetic,normal lighting load
CCTV-01,camera,CCTV-01,13.0,6.0,13.0,task_owned_synthetic,continuous recording at 1080p synthetic bitrate
CCTV-02,camera,CCTV-02,13.0,6.0,13.0,task_owned_synthetic,continuous recording at 1080p synthetic bitrate
VMS-01,message_sign,VMS-01,180.0,4.0,12.0,task_owned_synthetic,networked sign plus PoE communications module
ENV-01,environment_sensor,CAB-01,6.0,0.2,6.0,task_owned_synthetic,cabinet-mounted sensor
CAB-01,cabinet_aux,CAB-01,40.0,0.5,0.0,task_owned_synthetic,cabinet auxiliary load and telemetry
SW-01,network_switch,SW-01,15.0,0.0,0.0,task_owned_synthetic,switch self-load excluded from PoE budget
