cluster_id,cluster_name,design_file,overlay,score_total,product_count,variant_count,manifest_field_count,verifier_event_count,primary_cards,card_memberships,first_hardening_candidate,domain_practice_notes
SSC-07,"Ground investigation, groundwater, and soil/resistivity world",shared-subworld-designs/ssc-07-ground-investigation-groundwater-and-resistivity-long-horizon-design.md,no,30,8,40,8,10,17,22,Soil and groundwater structural-electrical safety package,yes
SSC-01,Road/corridor profile and traffic scene,shared-subworld-designs/ssc-01-road-corridor-profile-long-horizon-design.md,no,29,8,40,8,10,9,18,Road low-point drainage and field equipment resilience,yes
SSC-14,"Structural load, support, foundation, and connection world",shared-subworld-designs/ssc-14-structural-load-support-foundation-connection-long-horizon-design.md,no,28,8,40,8,10,17,46,Pipe transient support and foundation package,yes
SSC-11,"Piping network, transient, thrust, and support world",shared-subworld-designs/ssc-11-piping-network-transient-thrust-and-support-long-horizon-design.md,no,28,8,40,8,10,11,35,"Pump transient, thrust, support, and protection-trip package",yes
SSC-03,"Stormwater catchment, drainage, and hydraulic grade world",shared-subworld-designs/ssc-03-stormwater-drainage-and-hgl-long-horizon-design.md,no,27,8,40,8,10,17,35,Detention and outlet design-check package,yes
SSC-17,"Energy resource, storage, resilience, and operating time-series world",shared-subworld-designs/ssc-17-energy-resource-storage-resilience-operating-time-series-long-horizon-design.md,no,27,8,40,8,10,13,62,Stormwater controls and pumping outage resilience,yes
SSC-06,"Equipment layout, motor schedule, and duty-point world",shared-subworld-designs/ssc-06-equipment-layout-motor-schedule-and-duty-point-long-horizon-design.md,no,27,8,40,8,10,11,64,"Pump station duty, power, NPSH, and feeder package",yes
SSC-10,"Process wastewater, treatment, and plant energy world",shared-subworld-designs/ssc-10-process-wastewater-treatment-and-plant-energy-long-horizon-design.md,no,27,8,40,8,10,11,15,Wastewater energy island,yes
SSC-05,"Electrical SLD, feeder, load, and protection world",shared-subworld-designs/ssc-05-electrical-sld-feeder-and-protection-long-horizon-design.md,no,26,8,40,8,10,14,48,Mechanical-load to feeder and voltage package,yes
SSC-02,"Rail corridor profile, signalling, and OLE",shared-subworld-designs/ssc-02-rail-corridor-profile-long-horizon-design.md,no,26,8,40,8,10,10,12,Level crossing warning-time and backup-power package,yes
SSC-19,"Fire, hazard, suppression, and tenability world",shared-subworld-designs/ssc-19-fire-hazard-suppression-tenability-long-horizon-design.md,no,26,8,40,8,10,8,11,"Fire-water, sprinkler demand, and storage hazard package",yes
SSC-09,"Roof/facade/envelope wind, drainage, and fixing world",shared-subworld-designs/ssc-09-roof-facade-envelope-wind-drainage-fixing-long-horizon-design.md,no,26,8,40,8,10,2,16,"Facade wind, bracket, anchor, and tolerance package",yes
SSC-04,"Coastal, flood, wave, and marine boundary world",shared-subworld-designs/ssc-04-coastal-flood-and-marine-boundary-long-horizon-design.md,no,25,8,40,8,10,9,13,"Coastal flood, outfall, pump, and electrical elevation package",yes
SSC-08,"Building occupancy, room, egress, and vertical movement world",shared-subworld-designs/ssc-08-building-occupancy-room-egress-vertical-movement-long-horizon-design.md,no,25,8,40,8,10,7,20,"Station population, vertical movement, egress, alarm, and ventilation package",yes
SSC-15,Material/product compliance and certificate world,shared-subworld-designs/ssc-15-material-product-compliance-and-certificate-long-horizon-design.md,no,24,8,40,8,10,6,14,Product submittal review packet overlay,yes
SSC-13,"Lighting, visual performance, ITS, CCTV, and communications scene",shared-subworld-designs/ssc-13-lighting-visual-its-cctv-communications-long-horizon-design.md,no,23,8,40,8,10,12,18,"Road visual operations, ITS, CCTV, lighting, and comms power package",yes
SSC-16,"Construction, temporary works, environmental controls, and staging world",shared-subworld-designs/ssc-16-construction-temporary-works-environmental-controls-staging-long-horizon-design.md,no,23,8,40,8,10,2,8,"Construction environmental controls, temporary traffic, and monitoring power package",yes
SSC-12,"Acoustic, vibration, and receiver-impact world",shared-subworld-designs/ssc-12-acoustic-vibration-and-receiver-impact-long-horizon-design.md,no,19,8,40,8,10,6,6,Blower or pump duty to acoustic impact package,yes
SSC-18,"Instrumentation, controls, valve, and process signal world",shared-subworld-designs/ssc-18-instrumentation-controls-valve-process-signal-long-horizon-design.md,no,15,8,40,8,10,2,2,"Valve Cv, process value, and signal scaling package",yes
SSC-20,"Regional standards, authority, and review packet overlay",shared-subworld-designs/ssc-20-regional-standards-authority-review-overlay-long-horizon-design.md,yes,0,8,40,8,10,0,0,Regional standards overlay for any shared-subworld product,no
