task,discipline,category,primary_cluster,primary_score,secondary_clusters,all_candidate_clusters,card_path
bund-volume-calculation,civil,oil-containment,SSC-16,4.5,SSC-19;SSC-06,SSC-16:4.5;SSC-19:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/bund-volume-calculation.md
cant-calculation,civil,track-geometry,SSC-02,3.5,,SSC-02:3.5;SSC-20:1.5,docs/task-world-opportunities/task-cards/civil/cant-calculation.md
cerc-longshore-transport,civil,sediment-transport,SSC-04,3.5,SSC-16;SSC-06,SSC-04:3.5;SSC-16:1.5;SSC-06:1.5;SSC-05:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/civil/cerc-longshore-transport.md
culvert-capacity,civil,culvert-design,SSC-03,3.5,SSC-17,SSC-03:3.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/civil/culvert-capacity.md
curve-elements,civil,horizontal-geometry,SSC-01,4.5,SSC-06,SSC-01:4.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/curve-elements.md
darcy-weisbach-headloss,civil,pipe-hydraulics,SSC-11,4.5,SSC-06;SSC-03,SSC-11:4.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/civil/darcy-weisbach-headloss.md
design-wind-pressure,civil,wind-load-derivation,SSC-09,3.5,SSC-14;SSC-01,SSC-09:3.5;SSC-14:2.5;SSC-01:1.5,docs/task-world-opportunities/task-cards/civil/design-wind-pressure.md
design-wind-speed,civil,wind-load-derivation,SSC-14,2.5,SSC-09;SSC-16,SSC-14:2.5;SSC-09:2.5;SSC-20:1.5;SSC-16:1.5;SSC-01:1.5,docs/task-world-opportunities/task-cards/civil/design-wind-speed.md
detention-volume-preliminary,civil,detention-design,SSC-03,3.5,SSC-17,SSC-03:3.5;SSC-17:2.5,docs/task-world-opportunities/task-cards/civil/detention-volume-preliminary.md
downpipe-sizing,civil,stormwater-roof,SSC-03,5.5,SSC-09;SSC-17,SSC-03:5.5;SSC-09:2.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/civil/downpipe-sizing.md
driveway-gradient-check,civil,driveway-access,SSC-15,1.5,SSC-02;SSC-01,SSC-15:1.5;SSC-02:1.5;SSC-01:1.5,docs/task-world-opportunities/task-cards/civil/driveway-gradient-check.md
exit-gradient,civil,seepage-analysis,SSC-07,4.5,SSC-14;SSC-11,SSC-07:4.5;SSC-14:1.5;SSC-11:1.5;SSC-06:1.5;SSC-02:1.5,docs/task-world-opportunities/task-cards/civil/exit-gradient.md
flap-gate-headloss,civil,outfall-hydraulics,SSC-03,5.5,SSC-17;SSC-11,SSC-03:5.5;SSC-17:1.5;SSC-11:1.5;SSC-04:1.5,docs/task-world-opportunities/task-cards/civil/flap-gate-headloss.md
fos-rapid-drawdown,civil,slope-stability,SSC-07,2.5,SSC-14;SSC-11,SSC-07:2.5;SSC-14:1.5;SSC-11:1.5,docs/task-world-opportunities/task-cards/civil/fos-rapid-drawdown.md
fos-seismic,civil,slope-stability,SSC-07,2.5,SSC-14;SSC-11,SSC-07:2.5;SSC-14:1.5;SSC-11:1.5,docs/task-world-opportunities/task-cards/civil/fos-seismic.md
fos-steady-state,civil,slope-stability,SSC-07,2.5,SSC-14;SSC-11,SSC-07:2.5;SSC-14:1.5;SSC-11:1.5,docs/task-world-opportunities/task-cards/civil/fos-steady-state.md
freeboard-calculation,civil,coastal-drainage,SSC-04,5.5,SSC-17;SSC-16,SSC-04:5.5;SSC-17:1.5;SSC-16:1.5;SSC-10:1.5;SSC-09:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/civil/freeboard-calculation.md
gutter-sizing,civil,stormwater-roof,SSC-03,5.5,SSC-09;SSC-17,SSC-03:5.5;SSC-09:2.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/civil/gutter-sizing.md
hazen-williams-headloss,civil,pipe-hydraulics,SSC-11,4.5,SSC-06;SSC-03,SSC-11:4.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/civil/hazen-williams-headloss.md
hgl-check,civil,stormwater-piped,SSC-03,5.5,SSC-17;SSC-11,SSC-03:5.5;SSC-17:1.5;SSC-11:1.5,docs/task-world-opportunities/task-cards/civil/hgl-check.md
hudson-armor-sizing,civil,armor-stability,SSC-04,4.5,SSC-14;SSC-06,SSC-04:4.5;SSC-14:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/hudson-armor-sizing.md
intersection-sight-distance,civil,sight-distance,SSC-01,3.5,,SSC-01:3.5,docs/task-world-opportunities/task-cards/civil/intersection-sight-distance.md
lateral-earth-pressure,civil,slope-stability,SSC-07,5.5,SSC-14;SSC-11,SSC-07:5.5;SSC-14:1.5;SSC-11:1.5,docs/task-world-opportunities/task-cards/civil/lateral-earth-pressure.md
linear-wave-theory,civil,wave-climate,SSC-04,2.5,SSC-11;SSC-06,SSC-04:2.5;SSC-11:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/linear-wave-theory.md
mannings-pipe-capacity,civil,hydraulic-calculations,SSC-03,4.5,SSC-11;SSC-17,SSC-03:4.5;SSC-11:2.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/civil/mannings-pipe-capacity.md
min-curve-radius,civil,horizontal-geometry,SSC-01,2.5,SSC-11;SSC-06,SSC-01:2.5;SSC-11:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/min-curve-radius.md
npsh-calculation,civil,pump-station,SSC-06,4.5,,SSC-06:4.5,docs/task-world-opportunities/task-cards/civil/npsh-calculation.md
open-channel-capacity,civil,hydraulic-calculations,SSC-03,4.5,SSC-17;SSC-11,SSC-03:4.5;SSC-17:1.5;SSC-11:1.5,docs/task-world-opportunities/task-cards/civil/open-channel-capacity.md
orifice-outlet-design,civil,detention-design,SSC-03,3.5,SSC-17,SSC-03:3.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/civil/orifice-outlet-design.md
outfall-submergence-check,civil,outfall-hydraulics,SSC-04,4.5,SSC-03;SSC-17,SSC-04:4.5;SSC-03:2.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/civil/outfall-submergence-check.md
pipe-invert-calculation,civil,stormwater-piped,SSC-03,3.5,SSC-17;SSC-14,SSC-03:3.5;SSC-17:1.5;SSC-14:1.5;SSC-11:1.5,docs/task-world-opportunities/task-cards/civil/pipe-invert-calculation.md
pipe-velocity-check,civil,pipe-hydraulics,SSC-11,2.5,SSC-15;SSC-06,SSC-11:2.5;SSC-15:1.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/civil/pipe-velocity-check.md
pollutant-load-estimate,civil,water-quality,SSC-03,4.5,SSC-17;SSC-16,SSC-03:4.5;SSC-17:2.5;SSC-16:2.5;SSC-14:1.5;SSC-10:1.5,docs/task-world-opportunities/task-cards/civil/pollutant-load-estimate.md
pump-power-calc,civil,pump-station,SSC-06,6.5,SSC-10;SSC-03,SSC-06:6.5;SSC-10:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/civil/pump-power-calc.md
rational-method,civil,hydrologic-calculations,SSC-03,2.5,SSC-17,SSC-03:2.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/civil/rational-method.md
retaining-wall-stability,civil,slope-stability,SSC-07,6.5,SSC-14;SSC-11,SSC-07:6.5;SSC-14:4.5;SSC-20:1.5;SSC-11:1.5,docs/task-world-opportunities/task-cards/civil/retaining-wall-stability.md
roadway-spread,civil,hydraulic-calculations,SSC-03,6.5,SSC-17;SSC-09,SSC-03:6.5;SSC-17:1.5;SSC-09:1.5;SSC-01:1.5,docs/task-world-opportunities/task-cards/civil/roadway-spread.md
scs-curve-number,civil,hydrologic-calculations,SSC-03,2.5,SSC-17;SSC-06,SSC-03:2.5;SSC-17:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/scs-curve-number.md
sediment-basin-sizing,civil,erosion-sediment,SSC-16,3.5,SSC-03;SSC-17,SSC-16:3.5;SSC-03:2.5;SSC-17:1.5;SSC-07:1.5,docs/task-world-opportunities/task-cards/civil/sediment-basin-sizing.md
sewer-pipe-sizing,civil,gravity-sewer,SSC-03,3.5,SSC-11;SSC-06,SSC-03:3.5;SSC-11:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/sewer-pipe-sizing.md
sewer-slope-check,civil,gravity-sewer,SSC-03,2.5,SSC-15;SSC-11,SSC-03:2.5;SSC-15:1.5;SSC-11:1.5;SSC-07:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/sewer-slope-check.md
sls-load-combinations,civil,load-combinations,SSC-14,3.5,SSC-09,SSC-14:3.5;SSC-09:1.5,docs/task-world-opportunities/task-cards/civil/sls-load-combinations.md
solar-array-wind-load,civil,wind-load-derivation,SSC-17,4.5,SSC-09;SSC-07,SSC-17:4.5;SSC-09:2.5;SSC-07:2.5;SSC-05:2.5;SSC-14:1.5,docs/task-world-opportunities/task-cards/civil/solar-array-wind-load.md
spillway-weir-capacity,civil,spillway-hydraulics,SSC-06,1.5,SSC-03,SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/civil/spillway-weir-capacity.md
ssd-on-grade,civil,sight-distance,SSC-01,3.5,SSC-14,SSC-01:3.5;SSC-14:1.5,docs/task-world-opportunities/task-cards/civil/ssd-on-grade.md
stilling-basin-sizing,civil,spillway-hydraulics,SSC-17,1.5,SSC-06;SSC-03,SSC-17:1.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/civil/stilling-basin-sizing.md
superelevation-rate,civil,horizontal-geometry,SSC-01,2.5,SSC-11,SSC-01:2.5;SSC-11:1.5,docs/task-world-opportunities/task-cards/civil/superelevation-rate.md
thermal-stress-calculation,civil,rail-stress,SSC-02,2.5,,SSC-02:2.5;SSC-20:1.5,docs/task-world-opportunities/task-cards/civil/thermal-stress-calculation.md
tidal-prism,civil,tidal-water-levels,SSC-04,3.5,SSC-11;SSC-06,SSC-04:3.5;SSC-11:1.5;SSC-06:1.5;SSC-03:1.5,docs/task-world-opportunities/task-cards/civil/tidal-prism.md
transition-spiral-length,civil,track-geometry,SSC-02,4.5,SSC-17,SSC-02:4.5;SSC-20:1.5;SSC-17:1.5,docs/task-world-opportunities/task-cards/civil/transition-spiral-length.md
uls-load-combinations,civil,load-combinations,SSC-14,3.5,SSC-09,SSC-14:3.5;SSC-09:1.5,docs/task-world-opportunities/task-cards/civil/uls-load-combinations.md
uplift-pressure,civil,seepage-analysis,SSC-07,3.5,SSC-14;SSC-06,SSC-07:3.5;SSC-14:2.5;SSC-06:2.5;SSC-15:1.5,docs/task-world-opportunities/task-cards/civil/uplift-pressure.md
vertical-curve-design,civil,track-geometry,SSC-02,3.5,SSC-06,SSC-02:3.5;SSC-20:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/vertical-curve-design.md
wave-breaking,civil,wave-climate,SSC-04,3.5,SSC-07;SSC-06,SSC-04:3.5;SSC-07:1.5;SSC-06:1.5,docs/task-world-opportunities/task-cards/civil/wave-breaking.md
