cluster_id,cluster_name,shared_subworld,card_memberships,primary_cards,disciplines,discipline_count,score_total,shared_subworld_concreteness,cross_discipline_distance,verifier_locality,source_pack_realism,event_value,stage_substrate,candidate_product,main_risk,top_task_cards,overlay
SSC-07,"Ground investigation, groundwater, and soil/resistivity world","borehole/CPT/SPT logs, groundwater record, soil profile, resistivity/grounding test area",22,17,civil;electrical;ground;structural,4,30,5,5,5,5,5,5,Soil and groundwater as both structural stability and electrical safety medium,Soil strength and soil resistivity are adjacent but not interchangeable; authority partition is critical.,"exit-gradient, fos-rapid-drawdown, fos-seismic, fos-steady-state, lateral-earth-pressure, retaining-wall-stability, solar-array-wind-load, uplift-pressure, wave-breaking, grid-resistance",no
SSC-01,Road/corridor profile and traffic scene,"road vertical profile, chainage, crossfall, road speed, intersections, roadside equipment",18,9,civil;electrical;mechanical,3,29,5,4,5,5,5,5,Road low-point drainage and field equipment resilience,Needs a profile/drainage/equipment source pack without overclaiming full flood modelling.,"curve-elements, design-wind-pressure, driveway-gradient-check, intersection-sight-distance, min-curve-radius, ssd-on-grade, superelevation-rate, all-red-interval-calculation, bandwidth-calculation, handling-capacity",no
SSC-14,"Structural load, support, foundation, and connection world","load schedule, support layout, foundation plan, connection/bracket/member schedule, material actions",46,17,civil;electrical;ground;mechanical;structural,5,28,4,5,5,5,4,5,"Cross-discipline support/foundation package for pipe, facade, equipment, and retaining loads",Very powerful but broad; must pick one physical support/foundation layout.,"design-wind-pressure, design-wind-speed, exit-gradient, fos-rapid-drawdown, fos-seismic, fos-steady-state, hudson-armor-sizing, lateral-earth-pressure, pipe-invert-calculation, retaining-wall-stability",no
SSC-11,"Piping network, transient, thrust, and support world","P&ID/pipe alignment, supports, restraints, transient event, thrust block/foundation interfaces",35,11,civil;electrical;ground;mechanical;structural,5,28,4,5,5,5,4,5,Pipe transient to support/foundation and protection-trip package,Transient event definition and support/foundation geometry must be source-owned.,"darcy-weisbach-headloss, exit-gradient, flap-gate-headloss, fos-rapid-drawdown, fos-seismic, fos-steady-state, hazen-williams-headloss, hgl-check, lateral-earth-pressure, linear-wave-theory",no
SSC-03,"Stormwater catchment, drainage, and hydraulic grade world","catchment plan, rainfall/time-series, drainage long section, pits, pipes, detention/outfall structures",35,17,civil;mechanical,2,27,5,3,5,5,4,5,Drainage network plus downstream pump/equipment or road low-point package,Can collapse into natural civil drainage unless joined to a non-civil shared surface.,"culvert-capacity, darcy-weisbach-headloss, detention-volume-preliminary, downpipe-sizing, flap-gate-headloss, gutter-sizing, hazen-williams-headloss, hgl-check, mannings-pipe-capacity, open-channel-capacity",no
SSC-17,"Energy resource, storage, resilience, and operating time-series world","solar/weather/load/gas/energy records, BESS/PV, biogas, critical load/autonomy, operating profile",62,13,civil;electrical;mechanical;structural,4,27,4,5,4,5,4,5,"Energy resilience product joining PV/BESS, biogas, critical load, and feeder assumptions",Strong but can duplicate PV-storage unless treatment/process or resilience surface is explicit.,"culvert-capacity, detention-volume-preliminary, downpipe-sizing, flap-gate-headloss, freeboard-calculation, gutter-sizing, hgl-check, mannings-pipe-capacity, open-channel-capacity, orifice-outlet-design",no
SSC-06,"Equipment layout, motor schedule, and duty-point world","equipment layout, pump/blower/compressor/motor schedule, duty point, equipment datasheet/curve",64,11,civil;electrical;mechanical;structural,4,27,4,5,4,5,4,5,"Pump/blower duty to electrical load, acoustic impact, support/foundation package",Needs actual curve/datasheet or task-owned equipment schedule to avoid handwavey selection.,"bund-volume-calculation, cerc-longshore-transport, curve-elements, darcy-weisbach-headloss, hazen-williams-headloss, hudson-armor-sizing, linear-wave-theory, min-curve-radius, npsh-calculation, pipe-velocity-check",no
SSC-10,"Process wastewater, treatment, and plant energy world","process basis, PFD, influent/effluent samples, basin schedules, aeration/sludge/biogas records",15,11,civil;electrical;mechanical,3,27,5,4,4,5,4,5,"Wastewater energy island: process loads, biogas, PV/BESS, feeder",Mostly process/mechanical until electrical load or energy schedule evidence is added.,"pump-power-calc, 4-20ma-scaling, biogas-production, chemical-dosing, cstr-volume, hrt-calculation, mass-balance, mlss-inventory, nitrification-srt, oxygen-requirements",no
SSC-05,"Electrical SLD, feeder, load, and protection world","single-line diagram, load schedule, feeder/cable identity, fault/protection basis, switchboard geometry",48,14,electrical,1,26,5,1,5,5,5,5,"Feeder/SLD shared subworld for BESS, pump, fire, PoE, and arc-flash products",Many tasks are electrical-only unless a mechanical/civil equipment schedule is included.,"ac-resistance-temperature, access-controller-sizing, all-red-interval-calculation, bandwidth-calculation, battery-sizing, bess-sizing, bess-sizing-basic, busbar-forces, cable-ampacity, car-dimensions-check",no
SSC-02,"Rail corridor profile, signalling, and OLE","rail route profile, chainage, gradient, speed, signal layout, OLE span/weather envelope",12,10,civil;electrical;mechanical,3,26,4,4,4,4,5,5,"Rail weather, OLE sag, signal sighting, braking, and drainage clearance",Operator standards and sighting/STOPDIST evidence are harder to source publicly.,"cant-calculation, driveway-gradient-check, thermal-stress-calculation, transition-spiral-length, vertical-curve-design, overlap-calculation, power-load-calculation, signal-sighting-distance, single-span-sag-tension, warning-time-calculation",no
