name,discipline,category,template_dir,card_path,description,standards,tags,tool_mode,param_count,output_count,archetype_count,visibility_mix,hidden_params,multimodal_families,operation_handles
bund-volume-calculation,civil,oil-containment,src/aec_bench/templates/builtin/civil/bund_volume_calculation,docs/task-world-opportunities/task-cards/civil/bund-volume-calculation.md,Oil containment bund volume calculation per AS/NZS 1940,AS/NZS 1940,civil; oil-containment; bund; spill; hazardous-materials; deterministic,with-tool,8,4,4,all_given; partial,equipment_footprint_area_m2; num_equipment_items,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
cant-calculation,civil,track-geometry,src/aec_bench/templates/builtin/civil/cant_calculation,docs/task-world-opportunities/task-cards/civil/cant-calculation.md,Rail cant (superelevation) and cant deficiency for curved track using E_eq = 11.82 * V^2 / R,ARTC ETS-05-00; AREMA MRE Chapter 5; FRA 49 CFR Part 213,civil; rail; track-geometry; cant; superelevation; curves; deterministic,with-tool,5,3,4,all_given; partial,actual_cant_mm; max_cant_deficiency_mm,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
cerc-longshore-transport,civil,sediment-transport,src/aec_bench/templates/builtin/civil/cerc_longshore_transport,docs/task-world-opportunities/task-cards/civil/cerc-longshore-transport.md,Longshore sediment transport rate using the CERC formula Q_l = K * (E*Cg)_b * sin(2*alpha_b) / (2 * (rho_s - rho_w) * g * (1 - p)),USACE CEM; Shore Protection Manual (SPM),coastal; sediment; longshore; transport; wave; littoral,with-tool,6,3,4,all_given; partial,k_coefficient; porosity; sediment_density_kg_m3; water_density_kg_m3,spatial-map; chart-curve; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
culvert-capacity,civil,culvert-design,src/aec_bench/templates/builtin/civil/culvert_capacity,docs/task-world-opportunities/task-cards/civil/culvert-capacity.md,Culvert headwater analysis under inlet and outlet control using HDS-5 methodology,HDS-5; ARR,civil; hydraulics; culvert; drainage; inlet-control; outlet-control,both,7,4,5,all_given; partial,invert_elevation_m,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
curve-elements,civil,horizontal-geometry,src/aec_bench/templates/builtin/civil/curve_elements,docs/task-world-opportunities/task-cards/civil/curve-elements.md,"Horizontal curve element calculation: tangent, arc, external distance, mid-ordinate, and PC/PT chainages",AGRD Part 3,civil; roads; horizontal-geometry; curves; chainage; deterministic,with-tool,3,6,4,all_given; partial,ip_chainage_m,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
darcy-weisbach-headloss,civil,pipe-hydraulics,src/aec_bench/templates/builtin/civil/darcy_weisbach_headloss,docs/task-world-opportunities/task-cards/civil/darcy-weisbach-headloss.md,Friction head loss calculation using Darcy-Weisbach equation with Swamee-Jain friction factor,AWWA; Darcy-Weisbach; Swamee-Jain (1976),civil; pipe-hydraulics; head-loss; friction-factor; deterministic,with-tool,5,4,4,all_given; partial,roughness_height_mm,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
design-wind-pressure,civil,wind-load-derivation,src/aec_bench/templates/builtin/civil/design_wind_pressure,docs/task-world-opportunities/task-cards/civil/design-wind-pressure.md,Calculate design wind pressure from wind speed and aerodynamic factors per AS/NZS 1170.2,AS/NZS 1170.2,civil; wind; pressure; aerodynamic; wind-load; structural-actions; deterministic,with-tool,5,3,6,all_given; partial,air_density_kg_per_m3; cdyn,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
design-wind-speed,civil,wind-load-derivation,src/aec_bench/templates/builtin/civil/design_wind_speed,docs/task-world-opportunities/task-cards/civil/design-wind-speed.md,"Site wind speed V_sit,beta from regional speed and multipliers per AS/NZS 1170.2",AS/NZS 1170.2,civil; wind; loading; structural; deterministic,with-tool,6,2,4,all_given; partial,shielding_multiplier; terrain_category,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
detention-volume-preliminary,civil,detention-design,src/aec_bench/templates/builtin/civil/detention_volume_preliminary,docs/task-world-opportunities/task-cards/civil/detention-volume-preliminary.md,Preliminary detention volume estimate using simplified triangular hydrograph method,TR-55; Local requirements,civil; detention; stormwater; hydrology; storage; drainage; deterministic,with-tool,4,2,4,all_given; partial,allowable_release_rate_m3_s,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
downpipe-sizing,civil,stormwater-roof,src/aec_bench/templates/builtin/civil/downpipe_sizing,docs/task-world-opportunities/task-cards/civil/downpipe-sizing.md,Size roof downpipes per AS/NZS 3500.3 using catchment area and rainfall intensity,AS/NZS 3500.3:2025,civil; drainage; stormwater; plumbing; roof-drainage,with-tool,3,4,4,all_given; partial,rainfall_intensity_mm_hr,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
driveway-gradient-check,civil,driveway-access,src/aec_bench/templates/builtin/civil/driveway_gradient_check,docs/task-world-opportunities/task-cards/civil/driveway-gradient-check.md,Driveway gradient calculation and compliance check per AS/NZS 2890.1:2004,AS/NZS 2890.1:2004; Local Council DCPs,civil; driveway; gradient; compliance; access; deterministic,with-tool,4,3,4,all_given; partial,location_type,drawing-geometry; spatial-map; tabular-source,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
exit-gradient,civil,seepage-analysis,src/aec_bench/templates/builtin/civil/exit_gradient,docs/task-world-opportunities/task-cards/civil/exit-gradient.md,Calculate exit gradient at downstream toe and factor of safety against piping,USACE EM 1110-2-1901; FEMA P-1032,civil; dams; seepage; piping; gradient; hydraulics,with-tool,5,5,4,all_given; partial,foundation_soil_type; specific_gravity; void_ratio,drawing-geometry; tabular-source; chart-curve,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_curve
flap-gate-headloss,civil,outfall-hydraulics,src/aec_bench/templates/builtin/civil/flap_gate_headloss,docs/task-world-opportunities/task-cards/civil/flap-gate-headloss.md,Flap gate headloss calculation for stormwater outfalls,Manufacturer data; Hydraulic references,civil; outfall-hydraulics; flap-gate; headloss; drainage; deterministic,both,4,4,4,all_given; partial,gate_type,spatial-map; tabular-source; time-series,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table; source_timeseries
fos-rapid-drawdown,civil,slope-stability,src/aec_bench/templates/builtin/civil/fos_rapid_drawdown,docs/task-world-opportunities/task-cards/civil/fos-rapid-drawdown.md,Calculate factor of safety for upstream slope during rapid reservoir drawdown,USACE EM 1110-2-1902,civil; dams; slope-stability; drawdown; geotechnical; embankment,with-tool,7,4,4,all_given; partial,cohesion_kpa; friction_angle_deg; saturated_unit_weight_kn_m3,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
fos-seismic,civil,slope-stability,src/aec_bench/templates/builtin/civil/fos_seismic,docs/task-world-opportunities/task-cards/civil/fos-seismic.md,Factor of safety under pseudo-static seismic loading using the infinite slope method,USACE EM 1110-2-1902; ICOLD Bulletin 148,civil; dams; slope-stability; seismic; pseudo-static; geotechnical,with-tool,8,3,6,all_given; partial,cohesion_kpa; friction_angle_deg; unit_weight_kn_m3,drawing-geometry; tabular-source; document-evidence,parameters; outputs; difficulty; archetype; evidence_profile; hidden_parameter_policy; source_geometry; source_table
