object_id,object_type,chainage_m,offset_m,elevation_m,orientation_deg,source_status,notes
RD-SSC13-001,road_segment,60.0,0.0,0.0,0,task_owned_synthetic,120 m two-lane road segment centered at chainage 60 m
L-01,luminaire,0.0,-3.8,8.0,90,task_owned_synthetic,single-sided road luminaire
L-02,luminaire,40.0,-3.8,8.0,90,task_owned_synthetic,single-sided road luminaire
L-03,luminaire,80.0,-3.8,8.0,90,task_owned_synthetic,single-sided road luminaire
L-04,luminaire,120.0,-3.8,8.0,90,task_owned_synthetic,single-sided road luminaire
CCTV-01,camera,35.0,-4.2,7.0,55,task_owned_synthetic,approach camera covering west half of segment
CCTV-02,camera,95.0,-4.2,7.0,125,task_owned_synthetic,VMS and downstream camera
VMS-01,message_sign,75.0,-4.5,6.0,270,task_owned_synthetic,two-phase changeable message sign
CAB-01,cabinet,72.0,-5.5,0.0,0,task_owned_synthetic,ITS cabinet with PoE switch and UPS
SW-01,network_switch,72.0,-5.5,1.2,0,task_owned_synthetic,PoE switch inside CAB-01
FIB-01,fibre_link,72.0,-5.5,0.0,0,task_owned_synthetic,420 m single-mode uplink from CAB-01 to operations node
